name,mentions,name_pos,cap_ratio,first_pct
Мантля,18,False,1.0,14.4
Рудеев,17,True,0.89,0.7
Георг,17,True,1.0,0.7
Ромулан,17,False,1.0,0.4
Клевер,17,False,1.0,0.4
Бранан,17,True,1.0,0.4
Одрия,17,False,1.0,0.9
Риддло,17,False,1.0,0.5
Тибор,17,True,1.0,0.2
Лиллиана,16,True,1.0,0.7
Главнокомандующий,16,False,0.84,8.7
Комплот,16,False,1.0,0.6
Аргонавт,16,False,1.0,0.3
Марсоль,16,False,1.0,0.4
Переспросить,16,False,0.64,6.8
Эйкхарт,16,False,1.0,0.5
Меровеять,16,False,1.0,0.2
Фэн,16,True,1.0,0.4
Лить,16,False,0.94,0.5
Элюар,16,False,1.0,0.5
Когда-то,16,False,1.0,3.3
Брест,16,False,1.0,0.5
Винч,16,False,1.0,1.1
Клео,16,True,1.0,0.1
Дагоберт,16,True,1.0,0.1
Патлатый,16,False,1.0,0.5
Чживан,15,True,1.0,58.2
Почему-то,15,False,1.0,1.9
Флоран,15,True,1.0,37.9
Элизиум,15,False,1.0,0.4
Итак,15,False,1.0,22.7
Купер,15,True,1.0,0.7
Храмный,15,False,1.0,1.1
Рявкнуть,15,False,0.79,1.6
Айся,15,True,1.0,0.7
Аркус,15,False,1.0,0.3
Остин,15,True,1.0,0.3
Шарм,15,False,0.94,0.5
Роанн,15,False,1.0,0.2
Клик,15,False,0.94,34.6
Гао,15,False,1.0,0.4
Сказочник,15,False,1.0,0.5
Редсмит,15,True,1.0,0.5
Ээээ,15,True,0.88,17.8
Дейси,14,False,1.0,0.6
Амаль,14,True,1.0,0.3
Праведный,14,False,0.93,0.8
Возрождение,14,False,0.67,0.6
Тора,14,False,1.0,18.8
Цитата,14,False,0.88,94.9
Рауль,14,True,1.0,0.3
Лорхан,14,False,1.0,42.7
Сан,14,False,0.74,0.3
Перси,14,False,1.0,0.7
Ришар,14,True,1.0,26.4
Пич,14,False,1.0,0.6
Луноход,14,False,1.0,0.8
Камп,14,False,1.0,65.3
Йоланда,14,True,1.0,0.5
Авгульфинг,14,False,1.0,1.1
Какой-то,14,False,1.0,2.2
Хан,14,False,1.0,58.5
Прогресс,14,False,0.61,0.4
Аларика,14,True,1.0,0.4
Пактоман,14,False,0.93,0.5
Арчибальд,13,True,1.0,0.3
Рем,13,True,1.0,24.6
Шиный,13,False,1.0,0.4
Рудейский,13,False,0.87,0.7
Бурка,13,False,1.0,1.4
Нэнси,13,True,1.0,0.3
Луперкома,13,False,1.0,33.6
Мишель,13,True,1.0,0.3
Цветной,13,False,0.81,1.3
