name,mentions,name_pos,cap_ratio,first_pct,status,comment_mentions
Ромулан,17,False,1.0,0.4,mentioned_not_guessed,2
Клевер,17,False,1.0,0.4,never_mentioned,0
Георг,17,True,1.0,0.7,never_mentioned,0
Рудеев,17,True,0.89,0.7,mentioned_not_guessed,7
Фэн,16,True,1.0,0.4,never_mentioned,0
Патлатый,16,False,1.0,0.5,mentioned_not_guessed,1
Дагоберт,16,True,1.0,0.1,never_mentioned,0
Клео,16,True,1.0,0.1,mentioned_not_guessed,1
Винч,16,False,1.0,1.1,never_mentioned,0
Брест,16,False,1.0,0.5,mentioned_not_guessed,3
Элюар,16,False,1.0,0.5,never_mentioned,0
Лить,16,False,0.94,0.5,never_mentioned,0
Когда-то,16,False,1.0,3.3,never_mentioned,0
Меровеять,16,False,1.0,0.2,mentioned_not_guessed,1
Аргонавт,16,False,1.0,0.3,never_mentioned,0
Эйкхарт,16,False,1.0,0.5,never_mentioned,0
Главнокомандующий,16,False,0.84,8.7,never_mentioned,0
Комплот,16,False,1.0,0.6,never_mentioned,0
Лиллиана,16,True,1.0,0.7,never_mentioned,0
Марсоль,16,False,1.0,0.4,never_mentioned,0
Переспросить,16,False,0.64,6.8,never_mentioned,0
Аркус,15,False,1.0,0.3,never_mentioned,0
Ээээ,15,True,0.88,17.8,never_mentioned,0
Редсмит,15,True,1.0,0.5,eliminated,1
Сказочник,15,False,1.0,0.5,eliminated,5
Гао,15,False,1.0,0.4,never_mentioned,0
Клик,15,False,0.94,34.6,never_mentioned,0
Роанн,15,False,1.0,0.2,mentioned_not_guessed,11
Шарм,15,False,0.94,0.5,never_mentioned,0
Остин,15,True,1.0,0.3,never_mentioned,0
Итак,15,False,1.0,22.7,mentioned_not_guessed,3
Айся,15,True,1.0,0.7,mentioned_not_guessed,1
Элизиум,15,False,1.0,0.4,mentioned_not_guessed,1
Почему-то,15,False,1.0,1.9,never_mentioned,0
Флоран,15,True,1.0,37.9,never_mentioned,0
Рявкнуть,15,False,0.79,1.6,never_mentioned,0
Чживан,15,True,1.0,58.2,never_mentioned,0
Купер,15,True,1.0,0.7,never_mentioned,0
Храмный,15,False,1.0,1.1,mentioned_not_guessed,2
Пактоман,14,False,0.93,0.5,never_mentioned,0
Ришар,14,True,1.0,26.4,never_mentioned,0
Прогресс,14,False,0.61,0.4,never_mentioned,0
Хан,14,False,1.0,58.5,never_mentioned,0
Какой-то,14,False,1.0,2.2,mentioned_not_guessed,2
Авгульфинг,14,False,1.0,1.1,mentioned_not_guessed,2
Йоланда,14,True,1.0,0.5,eliminated,1
