name,mentions,commenters,author_mentions,name_pos,cap_ratio,first_seen,last_seen,samples
Групповушка,1,1,0,False,1.0,2026-05-31,2026-05-31,"[41287541] После эвакуации, - сказал Лай. - После эвакуации, - согласился Рен. Групповушка: Рен, Нора, Рен, Нора?))0)"
Великолепно,1,1,0,False,1.0,2026-05-31,2026-05-31,"[41286472] Великолепно. Было бы ещё веселее увидеть реакцию ""каноной"" линии на всё то, что творится в линии СМ. А потом реакцию обеих линий на Эхо Горького Сна."
Госопдин,1,1,0,True,1.0,2026-05-30,2026-05-30,"[41262899] Ладно, ваше дело, ваши вкусы, нет проблем... Правда мне скорее Жон напоминает не ""тёмного принца"", а скорее ""солдат-деспрессняк"". А лишних персов Госопдин Автор"
Вак,1,1,0,False,1.0,2026-05-29,2026-05-29,"[41256555] Колонка ""Смешные картинки"", товарищи! Продолжение одного из моих мемов (показать) Книги авторства Хейли, ч. 1 (показать) Книги авторства Хейли, ч. 2 (показать) "
Пожить,1,1,0,False,1.0,2026-05-30,2026-05-30,"[41261762] Это что? Я не понял. Сафрон хочет дофига племянников для себя? Если да, то... Остановись! Хватит думать об пошлостях! Твой брат не такой! У него уже есть невест"
Роскомнадзор-тянин,1,1,0,False,1.0,2026-05-29,2026-05-29,[41250141] https://drebedenboi.fandom.com/ru/wiki/Роскомнадзор-тян Леон... Ты знаешь что делать
Госпожа,1,1,0,False,1.0,2026-05-29,2026-05-29,"[41250096] Госпожа Де""Надзор вам накажет"
Надзор,1,1,0,False,1.0,2026-05-29,2026-05-29,"[41250096] Госпожа Де""Надзор вам накажет"
Довитальский,1,1,0,False,1.0,2026-05-28,2026-05-28,"[41231813] Колонка ""Анекдоты"", товарищи: 1) ""Реально и гипотетически"" версии ""Довитальский Арквилль"" Хейли спрашивает у Юлиуса: - Брат, что такое ""реально"" и что такое ""ги"
Клео,1,1,0,True,1.0,2026-05-28,2026-05-28,"[41231813] Колонка ""Анекдоты"", товарищи: 1) ""Реально и гипотетически"" версии ""Довитальский Арквилль"" Хейли спрашивает у Юлиуса: - Брат, что такое ""реально"" и что такое ""ги"
Толяна,1,1,0,True,1.0,2026-05-28,2026-05-28,"[41231813] Колонка ""Анекдоты"", товарищи: 1) ""Реально и гипотетически"" версии ""Довитальский Арквилль"" Хейли спрашивает у Юлиуса: - Брат, что такое ""реально"" и что такое ""ги"
Бертольд,1,1,0,True,1.0,2026-05-28,2026-05-28,"[41231813] Колонка ""Анекдоты"", товарищи: 1) ""Реально и гипотетически"" версии ""Довитальский Арквилль"" Хейли спрашивает у Юлиуса: - Брат, что такое ""реально"" и что такое ""ги"
Толик,1,1,0,False,1.0,2026-05-28,2026-05-28,"[41231813] Колонка ""Анекдоты"", товарищи: 1) ""Реально и гипотетически"" версии ""Довитальский Арквилль"" Хейли спрашивает у Юлиуса: - Брат, что такое ""реально"" и что такое ""ги"
Санус,1,1,0,False,1.0,2026-05-28,2026-05-28,"[41231813] Колонка ""Анекдоты"", товарищи: 1) ""Реально и гипотетически"" версии ""Довитальский Арквилль"" Хейли спрашивает у Юлиуса: - Брат, что такое ""реально"" и что такое ""ги"
Шатать,1,1,0,False,1.0,2026-05-28,2026-05-28,"[41231813] Колонка ""Анекдоты"", товарищи: 1) ""Реально и гипотетически"" версии ""Довитальский Арквилль"" Хейли спрашивает у Юлиуса: - Брат, что такое ""реально"" и что такое ""ги"
Здаров,1,1,0,True,1.0,2026-05-28,2026-05-28,"[41231813] Колонка ""Анекдоты"", товарищи: 1) ""Реально и гипотетически"" версии ""Довитальский Арквилль"" Хейли спрашивает у Юлиуса: - Брат, что такое ""реально"" и что такое ""ги"
